0,1,2,3,4,5,6,7,8,9
"summary of cash flows associated with the issuance and maturities of commercial paper for 2024, 2023 and 2022 (in millions):",,,,,,,,,
,,2024,,,2023,,,2022,
Maturities 90 days or less:,,,,,,,,,
"Proceeds from/(Repayments of) commercial paper, net",$,,"3,960",$,,"(1,333)",$,,"5,264"
Maturities greater than 90 days:,,,,,,,,,
Proceeds from commercial paper,,,—,,,—,,,"5,948"
Repayments of commercial paper,,,—,,,"(2,645)",,,"(7,257)"
"Proceeds from/(Repayments of) commercial paper, net",,,—,,,"(2,645)",,,"(1,309)"
"Total proceeds from/(repayments of) commercial paper, net",$,,"3,960",$,,"(3,978)",$,,"3,955"
