0,1,2,3,4,5,6,7,8,9,10
"State taxes, net of federal effect","1,124",,,,"1,518",,,"1,151",,
Earnings of foreign subsidiaries,"(5,744)",,,,"(4,366)",,,"(4,715)",,
"Research and development credit, net","(1,212)",,,,"(1,153)",,,"(1,033)",,
Excess tax benefits from equity awards,"(1,120)",,,,"(1,871)",,,"(2,137)",,
Foreign-derived intangible income deduction,—,,,,(296),,,"(1,372)",,
Other,(192),,,,456,,,(300),,
Provision for income taxes,$,"16,741",,,"$ 19,300",,,$,"14,527",
Effective tax rate,14.7,,%,,16.2,%,,13.3,,%
