0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Mac,"29,984",,,2,%,,"29,357",,,(27),%,,"40,177",
iPad,"26,694",,,(6),%,,"28,300",,,(3),%,,"29,292",
"Wearables, Home and Accessories","37,005",,,(7),%,,"39,845",,,(3),%,,"41,241",
Services (1),"96,169",,,13,%,,"85,200",,,9,%,,"78,129",
Total net sales,$,"391,035",,2,%,,$,"383,285",,(3),%,,$,"394,328"
