0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
S&P 500 Index,,$,100,,$,113,,$,156,,$,131,,$,155,,$,210
Dow Jones U.S. Technology Supersector Index,,$,100,,$,146,,$,216,,$,156,,$,215,,$,322
