0,1,2,3,4,5,6,7,8
Foreign exchange contracts,$,"4,317",,$,"2,819",,$,"7,136"
,,,,,,,,
Derivative liabilities (2):,,,,,,,,
Foreign exchange contracts,$,"2,205",,$,"2,547",,$,"4,752"
Interest rate contracts,$,"1,367",,$,—,,$,"1,367"
