0,1,2,3,4,5,6,7,8
Mac (1),"29,357",,,"40,177",,,"35,190",
iPad (1),"28,300",,,"29,292",,,"31,862",
"Wearables, Home and Accessories (1)","39,845",,,"41,241",,,"38,367",
Services (2),"85,200",,,"78,129",,,"68,425",
Total net sales,$,"383,285",,$,"394,328",,$,"365,817"
