0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Percentage of total net sales,8,,%,,,,,7,,%,,,6,,%
"Selling, general and administrative",$,"24,932",,,(1),%,,$,"25,094",,,14 %,$,"21,973",
Percentage of total net sales,7,,%,,,,,6,,%,,,6,,%
Total operating expenses,$,"54,847",,,7,%,,$,"51,345",,,17 %,$,"43,887",
Percentage of total net sales,14,,%,,,,,13,,%,,,12,,%
