0,1,2,3,4,5,6,7,8
Interest expense,"(3,933)",,,"(2,931)",,,"(2,645)",
"Other income/(expense), net",(382),,,(228),,,60,
"Total other income/(expense), net",$,(565),,$,(334),,$,258
