0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Americas,$,"162,560",,(4),%,,$,"169,658",,11,%,,$,"153,306"
Europe,"94,294",,,(1),%,,"95,118",,,7,%,,"89,307",
Greater China,"72,559",,,(2),%,,"74,200",,,9,%,,"68,366",
Japan,"24,257",,,(7),%,,"25,977",,,(9),%,,"28,482",
Rest of Asia Pacific,"29,615",,,1,%,,"29,375",,,11,%,,"26,356",
Total net sales,$,"383,285",,(3),%,,$,"394,328",,8,%,,$,"365,817"
