0,1,2,3,4,5,6,7,8
Research and development expense,"(29,915)",,,"(26,251)",,,"(21,914)",
"Other corporate expenses, net (1)","(6,672)",,,"(7,207)",,,"(6,143)",
Total operating income,$,"114,301",,$,"119,437",,$,"108,949"
