0,1,2,3,4,5,6,7,8
Net income,$,"96,995",,$,"99,803",,$,"94,680"
,,,,,,,,
Denominator:,,,,,,,,
Weighted-average basic shares outstanding,"15,744,231",,,"16,215,963",,,"16,701,272",
Effect of dilutive share-based awards,"68,316",,,"109,856",,,"163,647",
Weighted-average diluted shares,"15,812,547",,,"16,325,819",,,"16,864,919",
,,,,,,,,
Basic earnings per share,$,6.16,,$,6.15,,$,5.67
Diluted earnings per share,$,6.13,,$,6.11,,$,5.61
