0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
S&P 500 Index,,$,100,,$,104,,$,118,,$,161,,$,136,,$,160
Dow Jones U.S. Technology Supersector Index,,$,100,,$,105,,$,154,,$,227,,$,164,,$,226
