0,1,2,3,4,5,6,7,8
Research and development expense,"(31,370)",,,"(29,915)",,,"(26,251)",
"Other corporate expenses, net (1)","(7,458)",,,"(6,672)",,,"(7,207)",
Total operating income,$,"123,216",,$,"114,301",,$,"119,437"
